iter	Passed	Remaining
0	1	148
1	2	124
2	3	111
3	4	97
4	4	91
5	5	87
6	6	83
7	6	80
8	7	77
9	8	75
10	9	74
11	9	72
12	10	70
13	11	69
14	12	68
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	16	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	53	15
78	54	14
79	54	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	10
85	57	9
86	57	8
87	58	7
88	58	7
89	58	6
90	59	5
91	59	5
92	60	4
93	60	3
94	61	3
95	61	2
96	61	1
97	62	1
98	62	0
99	62	0
